calibrated_at,n_matches_used,total_anchor,total_source,rho,rho_source,log_likelihood,rmse_total_goals
2026-06-19T18:37:02.753655+00:00,26,3.1538,fitted,-0.2,fitted,-78.0643,1.8541
2026-06-20T18:59:12.571100+00:00,32,3.0,fitted,-0.03,fitted,-97.5571,1.8708
2026-06-20T18:59:15.348525+00:00,32,3.0,fitted,-0.03,fitted,-97.5571,1.8708
2026-06-21T11:05:10.644909+00:00,36,3.0278,fitted,-0.1,fitted,-111.4225,1.9074
2026-06-22T13:31:48.638856+00:00,40,3.025,fitted,-0.16,fitted,-123.5274,1.8906
2026-06-22T14:49:06.556119+00:00,40,3.025,fitted,-0.16,fitted,-123.5274,1.8906
2026-06-23T10:59:52.434483+00:00,44,3.0455,fitted,-0.16,fitted,-134.5482,1.8335
2026-06-24T10:44:40.244035+00:00,48,2.9375,fitted,-0.12,fitted,-146.4873,1.8753
2026-06-25T10:37:36.975933+00:00,54,2.9815,fitted,-0.09,fitted,-164.5776,1.8408
2026-06-26T10:47:54.031624+00:00,60,2.95,fitted,-0.15,fitted,-180.8308,1.8205
2026-06-26T23:23:53.465950+00:00,62,3.0161,fitted,-0.15,fitted,-189.287,1.8271
2026-06-30T10:53:08.866905+00:00,76,2.9342,fitted,-0.19,fitted,-227.1657,1.8377
2026-07-01T11:06:33.598716+00:00,79,2.9241,fitted,-0.2,fitted,-234.5174,1.8056
